woo_code,sap_code,name,city_name,state_code
CL_203,371,HUALAIHUE,CHAITEN,10
CL_204,222,HUALANE,CURICO,7
CL_205,278,HUALPEN,CONCEPCION,8
CL_206,269,HUALQUI,CONCEPCION,8
CL_207,106,HUARA,POZO ALMONTE,1
CL_208,128,HUASCO,VALLENAR,3
CL_209,406,HUECHURABA,SANTIAGO,13
CL_210,141,ILLAPEL,ILLAPEL,4
CL_211,396,INDEPENDENCIA,SANTIAGO,13
CL_212,103,IQUIQUE,IQUIQUE,1
CL_213,412,ISLA DE MAIPO,SANTIAGO,13
CL_214,145,ISLA DE PASCUA,ISLA DE PASCUA,5
CL_215,158,JUAN FERNANDEZ,JUAN FERNANDEZ,5
CL_216,169,LA CALERA,QUILLOTA,5
CL_217,431,LA CISTERNA,SANTIAGO,13
CL_218,170,LA CRUZ,QUILLOTA,5
CL_219,213,LA ESTRELLA,PICHILEMU,6
CL_220,424,LA FLORIDA,SANTIAGO,13
CL_221,432,LA GRANJA,SANTIAGO,13
CL_222,131,LA HIGUERA,COQUIMBO,4
CL_223,146,LA LIGUA,LA LIGUA,5
CL_224,434,LA PINTANA,SANTIAGO,13
CL_225,425,LA REINA,SANTIAGO,13
CL_226,130,LA SERENA,LA SERENA,4
CL_227,340,LA UNION,LA UNION,14
CL_228,343,LAGO RANCO,LA UNION,14
CL_229,383,LAGO VERDE,COYHAIQUE,11
CL_230,389,LAGUNA BLANCA,PUNTA ARENAS,12
CL_231,288,LAJA,LOS ANGELES,8
CL_232,409,LAMPA,SANTIAGO,13
